# word	pos	ipa（来自 dictionaryapi.dev，供离线核对用）
alumni	noun	/əˈlʌmnaɪ/
banquet	noun/verb	/ˈbæŋkwɪt/
chronology	noun	/kɹəˈnɒl.ə.dʒi/
doctrine	noun	/ˈdɒktɹɪn/
egalitarian	noun/adjective	/ɪˌɡæl.ɪˈtɛə.ɹi.ən/
eminent	adjective	/ˈɛmɪnənt/
fin	noun/verb	/fɪn/
gauge	noun/verb	/ˈɡeɪdʒ/
merchandise	noun/verb	/ˈmɜːtʃənˌdaɪs/
mow	noun/verb	/məʊ/
oriental	noun/adjective	
pane	noun/verb	/peɪn/
plea	noun/verb	/pliː/
quartz	noun	/kwɔːts/
scissors	noun/verb	/ˈsɪzəz/
subordinate	noun/verb/adjective	
terrain	noun	/tə.ˈreɪn/
transplant	noun/verb	
wax	noun/adjective/verb	/wæks/
